TmeanDiaria,TmaxDiaria,TminDiaria,TmaxVector,TminVector,TmediaVector,Indíce_Estrés,Máx Min,GDH,GDD,hMenor10C,dias5hMayor10,hMenor7C,Richardson,Unrath,hMenor6C,hMenor12C,hMenor18C,ET0,HRrad12,Radiaciín_Máx,Energía,max_viento,PP,TOP,DDPF
12.15,19.38,6.5,23.4,3.1,75.3973333333334,5424.94,75.65,4435.41231494886,71.9583333333333,207,20,56.75,120,235.5,31.25,331,530.8,66.2341,11.66,747.16,349.1364,2.1,37.2,28.9,136
13.0563333333333,21.3184242424242,6.21899621212121,29.7,2.9,65.5324074074074,12508.2,94.2177556818182,5053.6714637972,95.7458333333333,203,23,69,19.5,37.5,32,291,488,72.55283,11.84,780,354,3.9,6,51,127
14.2,21.59,8.1,27.9,3.9,73.25,10152.23,122.4,5884.6,113.5,129.5,15,17.75,-99.1,-47.3,9.75,234.5,463,60.5,12.3,785.92,334.1,3.9,46.8,73,123
14.25,22.30,7.2,30.7,2.1,66.98,14918,120.8,5861.8,119.1,155.25,18,37,-125.7,-73.6,25.75,252.25,441,63.4,12.34,798.32,347.8,2.94,5.4,96.7,122
14.04,22.58,6.6,26.4,0.8,67.76,14111,116.1,5850.1,117.1,165,19,48.75,-119.4,-67.8,32.25,257.25,439.75,72.2,12.36,863.48,403.8,3.8,0,98.1,119
13.6,20.44,7.5,28.9,2.2,68.8,10050,100,5525.5,107,157.5,16,61.75,-33.4,3.5,35,237,478.5,85.8,12.57,869.52,465.2,6.2,20.5,55.6,128
13.3612083333333,20.8,6.9,27.8,3.6,67.3235,12485,97.3,5243.27400396332,100.15,164.25,15,59.5,-16,218,31,271.75,479.25,81.23,12.33,808.64,434.8285,4.9,39.6,77.9,127
12.9440416666667,20.41,6.21899621212121,27,2.6,68.7045833333333,11236.48,85.05,5047.41127843464,94.1635416666667,205.25,21,73,31.75,50.12,39,289,498.75,87.34,12.25,851.32,466.1622,6.8,5.2,48.75,130
13.7752083333333,20.9,7.88,25.9,2.8,70.1533333333333,11260.57,111.55,5670.4128942517,107.707291666667,145.5,13,41.75,-74,-20.5,24.25,251,466.75,224.75,3.2076,800.36,444.2175,2.3,50.2,84,123
13.7506666666667,20.7,8,27.2,2,69.16125,12278,109.4,5585.23968646956,104.829166666667,143,13,30.25,-47,-10.25,11,241.25,483.25,205.75,2.9984,728.44,381.3102,2.8,24,67.5,125
13.2980833333333,21.33,6.8,26.4,1.3,75.6775,9829.9,101.7,5317.38622564254,101.304166666667,169.5,17,64.5,-27.5,10.75,42,272.5,474.5,202.5,1.9616,626.388888888889,203.9886,1.65555555555556,48.49,79.5,124
13.0027916666667,21.68,6.0,27.2,0.5,76.4883333333333,10079,90.05,5139.88465745763,99.353125,186.5,19,88.5,-12,26.62,60.5,277.5,480,193.25,2.7004,752.76,394,1.2,45,68.5,133
13.07,19.79,7.3,25.1,1.6,77.9,6954,90.4,5184.9,93.2,156,15,57.25,17,56.5,34,260.75,507.5,190,2.92,832.8,417.9,2.5,47.8,54.3,133
13.23,20.43,7.3,26.4,1.5,68.6,10513,98,5269.8,96.4,158.75,16,52.5,81.8,30,31.25,285,484,203.5,3.0,848.32,466.5,0,15.2,63.1,129
12.85,20.85,6.5,28,1.2,77.7,7805,93.4,4953.4,91.4,189.5,20,67.5,118,47.1,50,306.5,493,181.5,2.82,757.52,412.9,1.7,28.8,68,130
11.78,19.58,4.86,27.1,-0.7,63.39,12642,58.9,4388.2,78.5,249.25,24,98,151.6,101,80.25,332.75,503.75,162.25,3.33,786.64,416.3,3.2,15.8,56.3,129
