DailyTmean,DailyTmax,DailyTmin,Tmax,Tmin,ASI,Máx Min,GDH,GDD,H10,D10,H7,Richardson,Unrath,H6,H12,H18,ET0,GSR12,GSRmax,SE,WindMax,PP,GOH,DAFB
12.59,19.84,6.76857142857143,23.9,1.8,74.3438095238095,9191.84,117.85,6688.91231494886,113.058333333333,262.5,27,66.75,89.5,304.2,38.75,440,715.3,101.8341,11.7542857142857,778.771428571429,532.3364,2.03428571428571,59.4,59.8,136
13.8521428571429,22.6417316017316,6.3649972943723,30.1,2.9,63.7797619047619,21554.3,157.617755681818,7740.03083751379,158.933333333333,260,29,85,-98,-60.5,41,375,635,119.37192,12.1714285714286,824.228571428571,580698,3.90571428571428,6,101,127
14.48,22.1771428571429,8.08857142857143,30.4,3.9,71.56,16992,180.5,8395.9,168.8,182.25,21,25.25,-182.8,-110.5,13,325.5,625.75,89.9,12.45,809.028571428572,495.9,3.76285714285714,46.8,117,123
14.8114285714286,22.8542857142857,7.78,30.7,2.1,65.28,23118,187,8712.7,182.8,183.75,21,41,-248.1,-167.3,26.5,318.75,593.75,85.4,12.4785714285714,806.714285714286,452.8,2.87714285714286,5.4,141.6,122
14.7657142857143,23.48,7.14,27.7,0.8,67.6,22632,186.4,8662.6,184.5,204.75,22,49.25,-254,-187.6,32.25,336.75,582.25,110.9,12.5214285714286,915.342857142857,624.2,3.49142857142857,7.8,146.8,119
13.4371428571429,20.6828571428571,6.89428571428572,28.9,2,66.9514285714286,16197,133.5,7603,147.1,242.75,25,96.75,-36.4,9.3,59.5,353,667.5,135.8,12.8142857142857,912.314285714286,735.1,6.50857142857143,20.5,83.5,128
13.924255952381,21.6685714285714,7.37714285714286,29.1,3.6,67.9206547619048,18621,158.9,7767.88908388473,158.673958333333,221.75,21,75.75,-107.3,284.15,38,352.25,639.5,126.45,12.5571428571429,840.285714285714,669.2416,5.60285714285714,66.01,123.4,127
13.4022916666667,21.3142857142857,6.52571428571429,28.3,2.6,67.5019642857143,18387,138.55,7432.05404628332,144.492708333333,264.5,27,86.75,-26.5,5.32,46,389.5,670.25,129.26,12.4214285714286,862.228571428572,684.0752,6.72,5.2,88.25,130
14.5959821428571,22,8.63714285714286,28.8,2.8,69.8223214285714,17739.74,187.15,8636.76420471397,174.876041666667,160.75,15,43,-213,-124,24.25,294.25,619.25,355.5,3.32628571428571,820.885714285714,636.9291,2.23428571428571,50.6,129.25,123
14.2268154761905,21.6114285714286,8.15142857142857,34.7,1.8,69.0761904761905,18473.01,170.85,8183.80412232615,162.659375,174.75,16,42,-137,-71.25,19,314,650,321.75,3.25885714285714,787.285714285714,590.8608,2.8,28,101,125
13.98125,22.2542857142857,7.15142857142857,31.7,1.3,75.785119047619,14787.32,164.7,7824.93979405517,163.8375,212,21,86,-120.75,-61.5,59,340,642,317,2.20485714285714,670.428571428571,364.3038,1.58571428571429,59.4,113,124
13.5401488095238,21.7657142857143,6.65428571428572,33.5,0.5,76.7458333333333,13825,147.75,7557.21260838048,151.902083333333,229.25,23,99.25,-73.75,-11.5,70.75,356,659.5,294.75,2.81742857142857,786.057142857143,577.6335,1.24,57.8,94.25,133
13.5457142857143,20.5057142857143,7.54857142857143,30.7,1.6,77.9514285714286,9985,142.9,7649.6,145.6,203.5,20,76.5,-51.6,12,47.75,343.75,682,294.5,3.18,862.228571428572,639,2.61428571428571,64.6,95.6,133
13.7942857142857,20.7285714285714,8.10285714285714,26.4,1.5,70.7057142857143,14288,155.9,7941.4,149.1,174.75,17,52.75,53.4,-16.3,31.25,345.75,663,350,3.06285714285714,835.942857142857,653.7,0.114285714285714,43.6,103,129
14.0171428571429,22.1428571428571,7.66,28.6,1.2,76.1771428571429,13481,172.6,8030.7,161.6,211,22,69,43.5,-83.2,50,348.5,635,314.5,2.98571428571429,790.885714285714,595.9,1.76285714285714,43.2,131.5,130
12.8114285714286,20.1714285714286,6.2,27.1,-0.7,63.2914285714286,19591,115.2,7160.9,133.8,270.25,26,103,109.6,39.9,83.5,391.5,664.25,276.25,3.34,799.742857142857,577.9,3.13428571428571,45,102.4,129
