TmeanDi,TmaxDi,TminDi,Tmax,Tmin,Tmedia,ESTRÉS,MAX MIN,GDH,GDD,<=10ºC,dias5h>10,<=7ºC,Richardson,Unrath,hr<6°C,hr<12°C,hr<18°C,ET0,HRrad12,RADMAX,ENERGIA,max_viento,PP,TOP,DDPF
13.5775,21.16,7.53333333333333,30.1,1.8,72.8488888888889,21708.6,263.85,13023.8123149489,244.458333333333,361.5,37,88.75,-89.5,185.7,49.75,646,1143.3,186.6341,12.0733333333333,808.916666666667,980.8364,2.48666666666666,78,152.8,136
15.114375,24.0793434343434,7.53958175505051,30.3,2.9,64.7067610062893,40566.58,348.567755681818,15217.4598577321,333.420833333333,306,32,88,-474,-367.5,41,518,987,228.08304,12.5833333333333,877.516666666667,1123.0344,3.67,46,231,127
15.7333333333333,24.11,8.6,33.2,3.9,67.8216666666667,41361.3,382.7,15694.2,358.1,237.75,23,27.25,-599.9,-459.2,13,469,964.25,178.6,12.8333333333333,890.133333333333,961.1,3.51,46.8,231,123
15.76,24.3533333333333,8.27166666666667,33.7,2.1,63.12,48084,380.3,15905.7,364.1,256.25,27,53.25,-642.8,-494.7,33,486,938.5,149,12.8,852.85,750.4,2.60833333333333,5.4,278,122
16.2916666666667,25.0566666666667,8.31666666666667,31.4,0.8,66.0466666666667,48086,402.6,16416.1,397,240.25,23,51.75,-753,-623.9,33,433.5,896.25,202.9,12.8875,949,1118.4,3.06,7.8,273.7,119
14.3992361111111,21.8316666666667,7.70166666666667,29.9,2,66.7690625,34520.82,287.3,14265.2434160019,295.067708333333,326,32,100.5,-275.85,-183,59.5,540.25,1077.5,247.87,13.1625,896.4,1314.6494,6.52666666666666,42.1,179.5,128
15.0758854166667,23.1366666666667,8.07333333333333,29.1,3.6,65.1752083333333,41584.58,337.2,15149.2175564148,329.040625,289.75,28,77,-471.05,388.55,38,511.25,1001.75,250.07,13.0375,913.933333333333,1339.9636,5.7,66.51,258.15,127
14.7496701388889,22.8633333333333,7.79,30.2,2.6,65.9628125,38918.05,321.85,14704.0540462833,312.892708333333,322,33,90.25,-379.37,-266.27,47.5,521.25,1041.75,243.66,12.8208333333333,891.6,1269.1752,6.6,10.4,213.95,130
15.75734375,23.7516666666667,9.12,33.2,2.8,66.4354166666667,41584.73,387.3,16024.6894850864,363.448958333333,219.25,20,53.5,-621.87,-463.75,27.5,413,966.5,715.25,3.95383333333333,879.55,1262.0178,2.33666666666667,55.6,254.25,123
15.4770659722222,23.54,8.67333333333333,34.7,1.8,65.8272569444444,42625.86,367.05,15577.1990968673,349.110416666667,239.75,20,57.25,-540,-406.37,29.25,440.25,1001.75,674.5,3.9375,866.45,1205.3043,2.81,38.8,227.25,125
15.3722569444444,24.1366666666667,8.04,36.8,1.3,72.9621527777777,33858.29,365.4,15218.912445542,350.82,267.5,27,96.5,-527.25,-403.5,62,476,987.5,665,2.8345,765.77358490566,862.9326,1.67735849056604,59.4,242.5,124
15.0814756944444,24.2083333333333,7.47,33.5,0.5,73.6696180555556,33277.27,350.75,14628.6194636051,340.55,325,33,124.75,-469.37,-355.12,80.75,513,999.5,636,3.43483333333333,875.766666666667,1174.1031,1.14666666666667,57.8,215.75,133
14.9866666666667,22.7016666666667,8.17,30.7,1.6,75.2183333333334,25981,328.7,15038.2,325.7,267,27,90.25,-444.9,-310.9,53.25,480.75,1032,633,3.78,915.083333333333,1266.2,2.58333333333333,78.6,239.1,133
15.5066666666667,23.1983333333333,9.04166666666667,31.3,1.5,66.81,40516,369.1,15642.1,347.5,200.75,17,53,-179,-392.4,31.25,450,1000.25,683.25,3.64666666666667,911.5,1284.9,0.0666666666666667,53.8,223.2,129
15.7716666666667,24.71,8.23,34.5,1.2,71.8833333333334,41949,389.9,14718.8,372.5,287,31,81,-143.8,-472.8,54.5,493.5,960.5,666,3.75833333333333,862.5,1220.1,1.93666666666667,46.1,232.5,130
14.8483333333333,22.92,7.01333333333334,31.5,-0.7,57.5266666666667,59524,302.3,14388,334.2,363,34,127.25,-79.3,-348,93.75,538.75,982,637.25,4.15333333333333,886.366666666667,1178.3,3.01666666666667,55.2,228.6,129
